text,category
"Notre équipe commerciale se tient à votre disposition pour répondre à toutes vos questions.",Commercial
"Voici notre proposition tarifaire personnalisée suite à notre échange téléphonique de la semaine dernière.",Commercial
"Nous serions ravis de planifier un appel pour discuter de vos besoins et de nos solutions.",Commercial
"Découvrez notre nouvelle offre de partenariat, spécialement conçue pour les entreprises de votre secteur.",Commercial
"Merci de votre visite sur notre stand, voici la documentation promise concernant nos services.",Commercial
"Nous vous invitons à notre webinaire gratuit présentant nos dernières solutions d'entreprise.",Commercial
"Votre référent commercial reste disponible pour toute question concernant votre projet en cours.",Commercial
"Nous proposons actuellement une remise de 15% pour toute souscription avant la fin du mois.",Commercial
"Suite à votre visite sur notre site, souhaitez-vous être recontacté par un conseiller ?",Commercial
"Voici les modalités de notre partenariat ainsi que le calendrier de mise en œuvre proposé.",Commercial
"Nous vous remercions pour votre fidélité et vous proposons une offre exclusive ce mois-ci.",Commercial
"Un conseiller commercial vous contactera prochainement pour finaliser les détails de votre abonnement.",Commercial
